Date	Open	High	Low	Close	Volume	Adj Close			
15/05/2006	5912.1	5912.1	5755.4	5841.3	1991604000	5841.3			
16/05/2006	5841.3	5883.2	5807.1	5846.2	2138429000	5846.2			
17/05/2006	5846.2	5871.6	5675.5	5675.5	2145492400	5675.5			
18/05/2006	5675.5	5719.7	5618.7	5671.6	2143472600	5671.6			
19/05/2006	5671.6	5715	5645.4	5657.4	1777461200	5657.4			
22/05/2006	5657.4	5657.4	5510.5	5532.7	2031642400	5532.7			
23/05/2006	5532.7	5705.9	5532.7	5678.7	2147208600	5678.7			
24/05/2006	5678.7	5678.7	5563.5	5587.1	2146770400	5587.1			
25/05/2006	5587.1	5677.7	5562	5677.7	1760626600	5677.7			
26/05/2006	5677.7	5791	5677.7	5791	1627197000	5791			
30/05/2006	5791	5793.6	5643.3	5652	2026626200	5652			
31/05/2006	5652	5743.8	5591.5	5723.8	2119922000	5723.8			
01/06/2006	5723.8	5754.8	5680.6	5749.7	1833351200	5749.7			
02/06/2006	5749.7	5802.9	5745.7	5764.6	1669869800	5764.6			
05/06/2006	5764.6	5789.8	5738.9	5762.1	1072108200	5762.1			
06/06/2006	5762.1	5762.1	5656.6	5669.8	1883561800	5669.8			
07/06/2006	5669.8	5720.6	5638.5	5706.3	1885561000	5706.3			
08/06/2006	5706.3	5706.3	5562.9	5562.9	2135136200	5562.9			
09/06/2006	5562.9	5673.6	5562.9	5655.2	1801661400	5655.2			
12/06/2006	5655.2	5666.3	5612.3	5620.9	1463611000	5620.9			
13/06/2006	5620.9	5620.9	5467.4	5519.6	2146786800	5519.6			
14/06/2006	5519.6	5544.4	5475.6	5506.8	1860632800	5506.8			
15/06/2006	5506.8	5636.8	5506.8	5619.3	1917016000	5619.3			
16/06/2006	5619.3	5701.5	5594.3	5597.4	2134808800	5597.4			
19/06/2006	5597.4	5665.7	5597.4	5626.1	1153580400	5626.1			
20/06/2006	5626.1	5658.2	5585	5658.2	1352420400	5658.2			
21/06/2006	5658.2	5673.5	5610.8	5665	1642751600	5665			
22/06/2006	5665	5736.8	5657.2	5684.1	1611284600	5684.1			
23/06/2006	5684.1	5716.7	5667.8	5692.1	1145495200	5692.1			
26/06/2006	5692.1	5716.5	5677.5	5681.2	1614543500	5681.2			
27/06/2006	5681.2	5729.8	5650	5652.3	1337754500	5652.3			
28/06/2006	5652.3	5702.9	5633.8	5678.6	1267809100	5678.6			
29/06/2006	5678.6	5791.7	5678.6	5791.5	1502990700	5791.5			
30/06/2006	5791.5	5865.7	5791.5	5833.4	1583755600	5833.4			
03/07/2006	5833.4	5884.4	5833.4	5884.4	1194578500	5884.4			
04/07/2006	5884.4	5884.5	5848.3	5883.5	863784700	5883.5			
05/07/2006	5883.5	5883.5	5815.7	5826.7	1138260600	5826.7			
06/07/2006	5826.7	5897.1	5826.7	5890	1312357600	5890			
07/07/2006	5890	5908.5	5858.4	5888.9	1424761200	5888.9			
10/07/2006	5888.9	5901	5856.5	5896.9	880029600	5896.9			
11/07/2006	5896.9	5896.9	5844	5857.3	1162635500	5857.3			
12/07/2006	5857.3	5899.3	5842.7	5860.6	1212975900	5860.6			
13/07/2006	5860.6	5860.6	5751.9	5765	1515312700	5765			
14/07/2006	5765	5765	5707.6	5707.6	1305351900	5707.6			
17/07/2006	5707.6	5721.1	5654.6	5701	1366791200	5701			
18/07/2006	5701	5712.6	5658.3	5681.7	1439566900	5681.7			
19/07/2006	5681.7	5785.3	5680.8	5778	1665784200	5778			
20/07/2006	5778	5819.7	5756.4	5770.9	1308633700	5770.9			
21/07/2006	5770.9	5770.9	5700.7	5719.7	1594082100	5719.7			
